time,pdr,avg_delay,p95_delay,p99_delay,throughput_bps,control_overhead,avg_hop_count,route_breaks,packets_sent,packets_delivered,packets_dropped,energy_consumed,avg_ral,avg_link_util,congestion_events,proactive_reroutes,early_pdr,protocol_name,config_seed,num_nodes,max_speed
190.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2350,3994,0,4022,13121.408000001367,6.329180266162243,0.11716991057338244,0,0,0.0,CPQR,42,50,20.0
200.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2465,3930,0,3967,13121.408000001367,6.329180266162243,0.11131434282858571,0,0,0.0,CPQR,42,50,20.0
210.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2587,3943,0,3985,13121.408000001367,6.329180266162243,0.10601618277010946,0,0,0.0,CPQR,42,50,20.0
220.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2697,4096,0,4136,13121.408000001367,6.329180266162243,0.10119945479327576,0,0,0.0,CPQR,42,50,20.0
230.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2831,3990,0,4033,13121.408000001367,6.329180266162243,0.09680139069969577,0,0,0.0,CPQR,42,50,20.0
240.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,2949,3936,0,3970,13121.408000001367,6.329180266162243,0.09276967930029155,0,0,0.0,CPQR,42,50,20.0
250.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,3080,3850,0,3890,13121.408000001367,6.329180266162243,0.08906037584966013,0,0,0.0,CPQR,42,50,20.0
260.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,3202,4007,0,4048,13121.408000001367,6.329180266162243,0.08563629373317955,0,0,0.0,CPQR,42,50,20.0
270.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,3342,3920,0,3945,13121.408000001367,6.329180266162243,0.08246575342465753,0,0,0.0,CPQR,42,50,20.0
280.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,3479,3976,0,4007,13121.408000001367,6.329180266162243,0.07952159942877543,0,0,0.0,CPQR,42,50,20.0
290.0,0.0,0.0,0.0,0.0,0.0,0.13018337745870354,0.0,3606,4104,0,4142,13121.408000001367,6.329180266162243,0.0767804205446398,0,0,0.0,CPQR,42,50,20.0
